id,name,voltage,amperage,authentication_membership_card,capacity,fee,note,opening_hours,operator,socket_schuko,socket_type2,socket_type2_output,lon,lat
"node/5486805946",null,null,null,null,null,null,null,null,"allego",null,null,null,13.3836845,52.4951225
"node/5486849842",null,null,null,null,"6","yes",null,null,"Pattburg Poetzsch GmbH & Co. KG",null,"6","22kW",9.3726365,54.7944688
"node/5486896714",null,null,null,null,"6",null,null,null,"GP JOULE Connect GmbH & Co. KG",null,"6","22kW",9.4391423,54.7919885
"node/5487064109","Velobox",null,null,"no","3","no",null,"24/7","Stadtwerke Eberbach","6",null,null,8.9870838,49.4624583
"node/5490474813",null,null,null,null,"2",null,null,null,null,null,null,null,11.4382413,49.5115402
"node/5490857303","Kaufland Weimar","400",null,null,"2","no",null,"Mo-Fr 06:00-22:00; Sa 06:00-20:00","Kaufland Warenhandel Thüringen GmbH & Co. KG",null,"1","43kW",11.3111832,50.9638052
"node/5490916765",null,null,null,null,"2","yes",null,null,"Allego",null,"2","11 kW",13.3613414,52.5548128
"node/5491031911",null,null,null,null,"1","no",null,"24/7",null,"1","1","22 kW",12.9773401,52.2322642
"node/5491613042","TankE - Franz-Boss-Straße","400/230","22","yes","2","yes",null,"24/7","Gasversorgungsgesellschaft mbH Rhein-Erft",null,"2",null,6.9859155,50.8018806
"node/5491856349",null,null,null,null,"2",null,null,null,null,null,"2",null,8.0286696,50.8522863
"node/5493233440","Parkhaus Bahnhof",null,null,null,"2","no",null,"24/7","Lüneburger Parkhaus und Parkraum Verwaltungssitz GmbH",null,"1","22kW",10.4208408,53.2474289
"node/5493233441","Parkhaus Stadtmitte","230","16",null,"2","no",null,"24/7","Jaskolla GbR",null,"2","3,7kW",10.4131746,53.2464923
"node/5493272431","Cambio",null,null,"yes","1","no",null,"24/7","Eon Avacon",null,"2","22kW",10.4042083,53.2438581
